Contrato;AberturaDemanda;DocumentoSolicitacao;NumDocumento;PropostaComercial;DataPropostaComercial;PropostaRecebida;NumSolicitacao;Demanda;idTipoHora;TipoHora; QtdHoras ;PrecoHora;ValorTotal;AutorizadoExecucao;LocalAutorizacao;DataEntrega;HomologacaoSEI;Faturado;Agilis;ProcessoFaturamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;4;Construção - Teste;1,08; 94,00 ; 101,52 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;5;Transição;0,6; 184,00 ; 110,40 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;6;Gerenciamento de Projeto;0,96; 246,00 ; 236,16 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;1;Concepção;0; 248,00 ;  -    ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;2;Elaboração;6,6; 184,00 ; 1.214,40 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;3;Construção - Codificação;9,9; 94,00 ; 930,60 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;4;Construção - Teste;1,98; 94,00 ; 186,12 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;5;Transição;1,1; 184,00 ; 202,40 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Filtro “situação do servidor” na consulta de remuneração ;6;Gerenciamento de Projeto;1,76; 246,00 ; 432,96 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;1;Concepção;0,81; 248,00 ; 200,88 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;2;Elaboração;24,3; 184,00 ; 4.471,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;3;Construção - Codificação;36,45; 94,00 ; 3.426,30 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;4;Construção - Teste;7,29; 94,00 ; 685,26 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;5;Transição;4,05; 184,00 ; 745,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Integração com SIAFI - campo histórico do empenho ;6;Gerenciamento de Projeto;6,48; 246,00 ; 1.594,08 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;1;Concepção;1; 248,00 ; 248,00 ;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
